 ,Area,Mean,Min,Max,X,Y
1,0,177,177,177,1714.000,1081.000
2,0,171,171,171,1716.833,1115.500
3,0,183,183,183,1791.500,996.833
4,0,193,193,193,1734.167,858.167
5,0,187,187,187,1718.167,908.833
6,0,205,205,205,1719.500,919.500
7,0,204,204,204,1858.167,892.833
8,0,216,216,216,1890.167,922.167
9,0,208,208,208,2003.500,1107.500
10,0,168,168,168,1944.833,1168.833
11,0,177,177,177,1836.833,1115.500
12,0,189,189,189,1788.833,1154.167
13,0,159,159,159,1743.500,1376.833
14,0,159,159,159,1784.833,1328.833
15,0,155,155,155,1819.500,1290.167
16,0,167,167,167,1868.833,1274.167
17,0,203,203,203,2107.500,1220.833
18,0,162,162,162,2026.167,1334.167
19,0,182,182,182,1995.500,1384.833
20,0,166,166,166,1734.833,1516.167
21,0,161,161,161,1777.500,1520.167
22,0,152,152,152,1800.833,1525.500
23,0,179,179,179,1803.500,1462.167
24,0,149,149,149,1806.833,1404.833
25,0,188,188,188,1822.833,1444.833
26,0,200,200,200,1806.167,1394.833
27,0,174,174,174,1900.167,1426.833
28,0,153,153,153,1831.500,1473.500
29,0,138,138,138,1806.833,1642.833
30,0,143,143,143,1788.833,1641.500
31,0,144,144,144,1755.500,1586.833
32,0,162,162,162,1811.500,1706.833
33,0,189,189,189,1811.500,1696.167
34,0,165,165,165,1877.500,1587.500
35,0,180,180,180,1958.167,1547.500
36,0,173,173,173,1951.500,1621.500
37,0,177,177,177,1956.167,1684.167
38,0,156,156,156,1951.500,1692.833
39,0,175,175,175,1922.833,1740.167
40,0,181,181,181,2064.500,1582.500
41,0,178,178,178,2027.167,1593.167
42,0,165,165,165,1991.167,1658.500
43,0,170,170,170,2032.500,1688.500
44,0,169,169,169,2073.833,1681.833
45,0,174,174,174,2080.500,1593.833
46,0,180,180,180,2115.833,1619.167
47,0,210,210,210,2126.500,1633.833
48,0,176,176,176,2127.833,1643.167
49,0,169,169,169,2150.500,1583.167
50,0,168,168,168,2147.167,1526.500
51,0,188,188,188,2172.500,1595.167
52,0,170,170,170,2224.500,1559.833
53,0,171,171,171,2227.167,1638.500
54,0,223,223,223,2585.500,1573.500
55,0,206,206,206,2591.500,1603.500
56,0,219,219,219,2585.500,1627.500
57,0,225,225,225,2590.500,1670.500
58,0,230,230,230,2572.500,1671.500
59,0,216,216,216,2544.500,1684.500
60,0,192,192,192,2472.500,1662.500
61,0,175,175,175,2448.500,1609.500
62,0,213,213,213,2381.500,1680.500
63,0,184,184,184,2359.500,1690.500
64,0,196,196,196,2541.500,1421.500
65,0,199,199,199,2475.500,1467.500
66,0,171,171,171,2285.500,1501.500
67,0,186,186,186,2274.500,1523.500
68,0,167,167,167,2252.500,1558.500
69,0,208,208,208,2395.500,1338.500
70,0,207,207,207,2364.500,1238.500
71,0,182,182,182,2222.500,1269.500
72,0,167,167,167,2182.500,1397.500
73,0,147,147,147,1495.500,1897.500
74,0,150,150,150,1503.500,1898.500
75,0,167,167,167,1522.500,1962.500
76,0,136,136,136,1441.500,1890.500
77,0,166,166,166,1399.500,1904.500
78,0,148,148,148,1390.500,1909.500
79,0,143,143,143,1364.500,1921.500
80,0,176,176,176,1354.500,1933.500
81,0,153,153,153,1350.500,1930.500
82,0,155,155,155,1356.500,1947.500
83,0,169,169,169,1358.500,1969.500
84,0,145,145,145,1393.500,1937.500
85,0,174,174,174,1432.500,1925.500
86,0,185,185,185,1436.500,1934.500
87,0,147,147,147,1458.500,1949.500
88,0,145,145,145,1458.500,1968.500
89,0,158,158,158,1424.500,1978.500
90,0,167,167,167,1396.500,2002.500
91,0,159,159,159,1394.500,1988.500
92,0,126,126,126,1393.500,2015.500
93,0,137,137,137,1410.500,2015.500
94,0,166,166,166,1409.500,2022.500
95,0,153,153,153,1475.500,2040.500
96,0,130,130,130,1504.500,2039.500
97,0,159,159,159,1521.500,1999.500
98,0,163,163,163,1456.833,2086.833
99,0,141,141,141,1466.167,2101.500
100,0,160,160,160,1435.500,2075.500
101,0,145,145,145,1434.167,2086.167
102,0,166,166,166,1430.167,2100.833
103,0,170,170,170,1425.500,2116.167
104,0,170,170,170,1424.167,2126.833
105,0,150,150,150,1410.833,2113.500
106,0,162,162,162,1371.500,2091.500
107,0,140,140,140,1354.167,2072.167
108,0,154,154,154,1354.167,2012.833
109,0,160,160,160,1343.500,2004.167
110,0,172,172,172,1338.833,1990.833
111,0,168,168,168,1339.500,1979.500
112,0,156,156,156,1507.500,2164.167
113,0,145,145,145,1499.500,2192.167
114,0,162,162,162,1501.500,2210.833
115,0,174,174,174,1504.167,2224.167
116,0,154,154,154,1450.833,2204.833
117,0,154,154,154,1404.833,2206.833
118,0,131,131,131,1392.833,2224.167
119,0,141,141,141,1383.500,2166.167
120,0,164,164,164,1364.833,2164.167
121,0,176,176,176,1314.167,2184.167
122,0,166,166,166,1311.500,2175.500
123,0,175,175,175,1447.500,2255.500
124,0,173,173,173,1499.500,2246.167
125,0,176,176,176,1493.500,2253.500
126,0,137,137,137,1534.833,2121.500
127,0,156,156,156,1512.833,2326.833
128,0,156,156,156,1542.167,2346.167
129,0,164,164,164,1515.500,2399.500
130,0,157,157,157,1472.833,2316.167
